Cidade,Factor1,Factor2,Factor3
Jaboatão dos Guararapes,0.7380370000000001,-0.8549200000000000,-1.1670670000000001
Uberlândia,0.5516680000000000,0.16481499999999999,-0.46533999999999998
Osasco,0.2772930000000000,0.9102590000000000,0.5606750000000000
Sorocaba,0.20853800000000000,1.2149300000000001,0.004641000000000000
Contagem,0.3528630000000000,-0.016584999999999999,-0.37547999999999998
Aracaju,-0.3979560000000000,-0.035402999999999997,-0.006501000000000000
Feira de Santana,0.8574020000000000,-0.6468650000000000,-0.9652400000000000
Cuiabá,0.25543600000000000,0.04524800000000000,-0.08996400000000000
Joinville,-0.189794000000000,1.926974000000000,0.09698700000000000
Aparecida de Goiânia,0.19825499999999999,-0.1204700000000000,-0.9300400000000000
Londrina,0.18396399999999999,0.5798130000000000,-0.2528680000000000
Juiz de Fora,0.42887799999999998,0.22452900000000001,-0.17153099999999999
Porto Velho,-0.3644210000000000,0.9350230000000000,-0.6994470000000000
Ananindeua,-0.46677099999999999,-0.3387040000000000,-0.8264270000000000
Serra,-0.393924000000000,0.5342970000000000,-0.05697600000000000
Caxias do Sul,-0.579273000000000,1.635757000000000,0.12722700000000001
Macapá,0.016018000000000001,-0.2378150000000000,-0.9181500000000000
Niterói,-0.1735080000000000,1.424120000000000,1.1596900000000001
Florianópolis,0.5075270000000000,1.8284290000000001,0.9440260000000000
Belford Roxo,0.16901200000000000,-1.323809000000000,-1.0815250000000001
Campos dos Goytacazes,-0.39526099999999997,-0.27048699999999998,0.4956700000000000
Vila Velha,0.24382599999999999,-0.04261800000000000,-0.11248100000000000
Mauá,-0.22111200000000000,-0.03577800000000000,-0.20123900000000000
São João de Meriti,-0.10927600000000000,-1.087475000000000,-0.6546149999999999
São José do Rio Preto,0.24533199999999999,0.30852099999999999,0.08134800000000000
Mogi das Cruzes,0.5473300000000000,0.06584900000000000,-0.326437000000000
Betim,-0.2879070000000000,0.24601300000000001,-0.0627530000000000
Boa Vista,-0.471795000000000,0.49350600000000000,0.01145100000000000
Maringá,-0.030290999999999998,0.8502340000000000,-0.20016400000000001
Santos,0.3449040000000000,-0.16898700000000000,0.680103000000000
Diadema,-0.010637000000000001,0.964664000000000,-0.19209499999999999
Jundiaí,-0.9206160000000000,1.5736079999999999,1.1451590000000000
Rio Branco,-0.027761999999999998,-0.846570000000000,-0.4084020000000000
Montes Claros,-0.020959999999999999,-0.7265590000000000,-0.35396600000000000
Campina Grande,-0.011398000000000000,1.0799470000000000,-1.0727860000000000
Piracicaba,0.00844300000000000,1.3517850000000000,0.49931999999999999
Carapicuíba,-0.20077700000000001,-0.9326090000000000,-0.4811800000000000
Anápolis,-0.11105600000000000,-0.19358100000000000,-0.19280700000000001
Olinda,0.23529200000000000,-0.45617200000000002,-0.678638000000000
Cariacica,-0.27716499999999999,-1.0861209999999999,-0.06001300000000000
Bauru,0.2602960000000000,0.3469960000000000,-0.0027780000000000001
Itaquaquecetuba,0.10198699999999999,-0.2521670000000000,-0.5460520000000000
São Vicente,-0.3061760000000000,-0.8899840000000000,-0.49030299999999999
Vitória,-0.20098199999999999,0.69480900000000,1.8359250000000000
Caruaru,0.35902499999999998,-0.7476280000000000,-0.9128300000000000
Caucaia,0.24437000000000000,-0.842519000000000,-1.0685460000000000
Blumenau,-0.47018100000000002,1.3492910000000000,0.1416090000000000
Petrolina,0.1312180000000000,-0.5864360000000000,-0.6100980000000000
Ponta Grossa,-0.11811199999999999,0.2966590000000000,0.06333700000000000
Franca,0.29779800000000001,-0.045248999999999998,-0.3045090000000000
Canoas,-0.13747200000000001,0.497407000000000,-0.39262000000000002
Pelotas,0.053127000000000001,0.055562000000000000,-0.5414250000000000
Vitória da Conquista,0.8131200000000000,-1.2897730000000001,-0.9758460000000000
Ribeirão das Neves,-0.10280400000000001,-1.0122210000000000,-0.7622000000000000
Uberaba,0.19242300000000001,-0.06258800000000000,-0.31234200000000001
Paulista,0.4450230000000000,-0.6536650000000001,-0.8618390000000000
Praia Grande,0.9687310000000000,-1.3187359999999999,-0.9130410000000000
Cascavel,0.01747300000000000,0.30911600000000000,-0.33113900000000002
São José dos Pinhais,-0.7620780000000000,1.1052979999999999,0.29653099999999999
Guarujá,0.8346910000000000,-0.8936680000000000,-0.8228870000000000
Taubaté,-0.9337970000000000,0.6446590000000000,0.35181699999999999
Palmas,0.26563799999999999,0.5915120000000000,-0.45763999999999999
Limeira,0.10071800000000000,1.029161000000000,0.4134750000000000
Camaçari,0.3381110000000000,0.549388000000000,-0.4795930000000000
Santarém,-0.04123600000000000,-0.9217780000000000,-0.7987520000000000
Petrópolis,0.2046680000000000,-0.4144370000000000,-0.25095600000000001
Mossoró,-0.0480730000000000,-0.23994299999999999,-0.7632560000000000
Suzano,0.4144230000000000,-0.06985000000000000,-0.18208199999999999
Taboão da Serra,-0.113252000000000,-0.3816440000000000,-0.16937600000000000
Várzea Grande,0.06906200000000000,-0.336518000000000,-0.3981780000000000
Sumaré,-0.04909100000000000,0.1687350000000000,-0.30865199999999998
Marabá,-0.4813450000000000,-0.03721600000000000,-0.18769100000000000
Gravataí,-0.3640870000000000,0.1742630000000000,-0.23635400000000001
Santa Maria,0.35924299999999998,1.0283690000000001,-0.5904830000000000

